aback ad.向后地,朝后地
lexicon n.辞典,词典
liability n.责任,债务,倾向
liable a.有义务的,应负责的,有...倾向的
liar n.说谎者
libel n.以文字损害名誉,诽谤罪,侮辱v诽谤,中伤
liberal n.自由主义者,开明的人a.慷慨的,不拘泥的
libertarian n.自由意志主义支持者a.主张个人思想的
libertine n.放荡者,玩乐者,浪子,自由思想家a.放荡的
libertinism n.放荡,玩乐,自由思想
librarian n.图书馆员,图书管理员
lien n.留置权,优先权,抵押权
lieu n.场所
lieutenant n.中尉,助理人员,副官
lifeboat n.1救生艇2救难船
life-form n.生物
lifelike a.栩栩如生的,逼真的,酷象实物的
lighthearted adj.轻松的,快活的,爽朗的,兴高采烈的
lightly ad.轻轻地,容易地,不费力地
lightness n.1明亮,光亮2(颜色的)淡薄
likelihood n.可能,可能性
liken vt.比喻,比拟,使象
likewise ad.同样地,也conj.而且
limb n.四肢,枝干,翼,边缘vt.切断...之手足
lime n.石灰,粘鸟胶,酸橙
limestone n.石灰石
limitation n.限制,缺陷,限额
limn vt.描写,描绘
limousine n.轿车
limp n.跛行a.柔软的,无力的,软弱的vi.跛行
linchpin n.制轮楔,车辖,关键
lineage n.血统
linear a.线的,直线的,线状的n.线性
linen n.亚麻布,亚麻线,亚麻制品a.亚麻的
linger vi.逗留,消磨,徘徊vt.拖延
linguistic adj.1语言的2语言学上的
linkage n.联合,连锁,结合,联动
lint n.绷带用麻布,皮棉
lionize vt.将...以名人待之vi.结交名流
liquefy v.(使)溶解,(使)液化
lister n.双耕犁,制表人
listless a.倦怠的,无精打采的,冷漠的
litany n.连祷,哀求
lite adj.清淡的;稀薄的;低糖的;酒精含量少的
literacy n.读写能力,识字,精通文学
literal a.逐字的,字面上的,文字的,字母的n.印刷错误
literally ad.逐字地,按照字面上地,不夸张地
literary a.文学的,文艺的,精通文学的
literature n.文学,文艺,著作
lithe a.柔软的
litigant a.诉讼的n.诉讼当事人,诉讼关系人
litigious a.好诉讼的,好争论的,
littermate n.亦作littermate.同窝出生者
livelihood n.生计,营生,生活
liver n.肝脏,生活者,居民
livestock n.家畜类
livid a.铁青的
lizard n.蜥蜴
loaf n.一条面包,块,游荡v.游手好闲,虚度光阴
loan n.贷款,借出,债权人v.借,供应货款,借给
loathe vt.厌恶,憎恶
lobby n.大厅,休息室,游说议员者vi.游说议员
lobbyist n.议院外的议案通过活动者,议院外的陈情者
lobster n.龙虾
locale n.现场,场所
locality n.地方,所在,位置
localize vt.1抑止扩大…2使…有地方特色;使…地方化
locker n.柜，箱,有锁的橱柜,有锁的存物柜
lockstep n.密集连锁的步伐,因循守旧
locomotive n.火车头,机车a.运转的,火车头的
locus n.场所,所在地,轨迹
locution n.说话法,语风,语法
loft n.阁楼,鸽房,楼上vi.将球高击
lofty a.高的,高超的,傲慢的,玄虚的,高级的
logger n.樵夫,圆木装车机
logical a.合乎逻辑的,合理的
loll vi.懒散地闲荡,垂下头,伸舌vt.伸,靠着
loner n.孤独的人,不合群的动物
longevity n.长命,长寿,寿命
longing n.渴望,热望,憧憬a.渴望的,热望的
longshoreman n.港口工人,近海渔夫
loom n.织布机,若隐若现的景象vi.朦胧地出现
loon n.懒人,潜鸟,笨蛋
loop n.环,圈,弯曲部分vt.使成环,以圈结
loophole n.枪眼,小窗,换气孔
loopy adj.1多圈的,多环的2(俚)疯狂的3(苏格兰)狡猾的
lop vt.剪,砍伐,斩vi.下垂,闲荡a.垂下的
loquacious a.多嘴的,好辩的,吵闹的,潺潺的
lord n.统治者,阁下,上帝vi.称王,作威作福vt.使成贵族
lotion n.洗液,洗净,饮料
lottery n.奖券,彩票,运气
loudness n.高声,大声,吵闹
loudspeaker n.扩音器,喇叭
lounge n.闲逛,休闲室,长沙发vi.闲混
lover n.爱人,爱好者
lowly a.地位低的,卑下的,谦卑的ad.低声地
loyalty n.忠贞,忠诚,忠实
lubricant a.润滑的n.润滑物,润滑油,润滑剂
lubricate vt.使润滑,涂油vi.润滑
lucid a.清澈的,透明的,透彻的
lucrative a.有利益的,获利的,合算的
ludicrous a.可笑的,滑稽的,荒唐的
lugubrious a.可怜的,悲惨的,悲哀的
lull n.暂停,间歇,稍息,麻痹vt.使平静,哄骗
lullaby n.摇篮曲,催眠曲,轻柔的音乐
lumber n.木材,破旧家俱,废物vt.伐木,乱堆
luminescence n.无热光,冷光,发光
luminescent a.发冷光的,发光的
luminous a.发光的,明亮的
lummox n.愚蠢不中用者,笨伯
lump n.块,笨人,肿块,很多vt.使成块状,忍耐
lumpy a.多瘤的,波浪起伏的,粗笨的
luncheon n.午宴,正式的午餐
lune n.弓形,半月形,半月形物
lure n.饵,诱惑vt.引诱,诱惑
lurid a.火烧似的,苍白的,华丽而庸俗的,可怕的
lurk n.潜伏,潜行vi.潜藏,潜伏,埋伏
lush a.苍翠繁茂的,多青草的,丰富的
luster n.光彩,荣誉,光泽vi.有光泽,发亮
luxuriant a.繁茂的,丰富的,肥沃的,华丽的
luxurious a.豪华的,奢侈的,放纵的
luxury n.奢侈,豪华a.奢侈的,豪华的
lyceum n.学园,学会
lynch n.私刑,私罚vt.处以私刑,加私刑
lyric n.抒情诗,歌词a.抒情的
lyrical a.抒情诗调的,有抒情味的,感情夸张的
lyricist n.1抒情诗人2(流行歌等的)作词者
machination n.阴谋,图谋,策划
machinery n.机器,机关,结构
magical a.魔术的,有魔力的,不可思议的
magisterial a.长官的,严然的,有权威的
magistrate n.长官,法官,推事
magnanimity n.宽宏大量
magnanimous a.宽宏大量的,有雅量的
magnetic a.有磁性的,有吸引力的,催眠术的
magnificent a.华丽的,高尚的,丰富的
magnify vt.放大,扩大,赞美,夸大vi.有放大能力
magnitude n.巨大,重大,重要,光度,数量,大小
mainstay n.支柱,中流砥柱
mainstream n.主流
maintain vt.维持,维修,保持,主张,供养,坚持
maintenance n.维护,保持,维修,生活费用,瞻养义务,扶养
maize n.玉蜀黍,黄色a.玉蜀黍色的,黄色的
major n.主修课,成年人,陆军少校a.主要的,严重的vi.主修
majority n.多数,大半
makeup n.天性,化妆品,补考,虚构,补充
maladroit a.笨拙的,拙劣的,愚钝的
malady n.病,疾病,弊病
malaise n.不舒服
malaria n.疟疾,瘴气
malcontented adj.不平的,抱怨的;不满的,反叛的,反抗的
malediction n.咒,坏话
malfeasance n.不正当,不法行为,坏事,渎职
malformation n.难看,畸形
malfunction n.故障,失灵vi.发生故障,不起作用
malicious a.怀恶意的,恶毒的
malign a.有害的,恶性的,有恶意的vt.诽谤
malinger vi.装病,开小差
malleable a.有延展性的,可锻的
mallet n.木槌,球棍,棒
mammal n.哺乳动物
mammoth n.长毛象,庞然大物a.长毛象似的,巨大的
mandate n.命令,指令,要求vt.委任统治
mandatory a.命令的,托管的
maneuver n.演习,调遣,策略v.调遣,演习
mania n.狂躁,热衷,狂热
manic a.狂躁的n.噪狂者
manicure n.修指甲术,指甲修饰师vt.修指甲,修剪
manifest n.载货单a.显然的,明白的vi.显示vt.表明,表现
manifestation n.显示,证明,示威运动
manifesto n.宣言,声明
manipulate vt.操纵,利用,假造,应付
manipulation n.处理
manipulative a.用手处理的,巧妙处理的,窜改的
manipulator n.机械手
manliness n.男子气概,雄纠纠,勇敢
manner n.样子,礼貌,风格
mannered a.守规矩的,矫饰的
mannerism n.明显或过分固守独特格调或形式,怪癖
manorial a.庄园的
mansion n.大厦,邸
manual n.手册,指南a.手的,手动的,手工的a.人工的,手动的
manufacture n.产品,制造vt.制造,假造vi.制造
manufacturer n.制造业者,厂商
manuscript n.手稿,原稿,底稿a.手写的
maraud v.n.劫掠,掠夺,袭击
marble n.大理石,石弹,雕刻品a.大理石的,冷酷无情的
marcel n.波形卷发vt.把...烫成波浪形
margin n.页边的空白,边缘,界限,余裕
marginal a.边缘的,末端的,有旁注的
marina n.散步道,码头
marine n.舰队,水兵,海运业a.海的,海产的
mariner n.水手
maritime a.海的,海上的,海员的,沿海的
markedly ad.显著地,醒目地,明显地
marrow n.髓,骨髓,配偶,活力,精华
marsh n.沼泽,湿地a.沼泽的
marsupial n.有袋类a.袋的,袋状的
martial a.军事的,尚武的,威武的
marvel n.奇异的事物,罕见的例子vt.惊异于
marvelous a.令人惊异的,了不起的,不平常的
masculine n.阳性,男性a.男性的,阳性的
massive a.大而重的,宽大的,宏伟的
mast n.桅,桅杆,杆vt.装桅杆于
masterful a.傲慢的,主人派头的,能干的
masterpiece n.杰作,名著
mastery n.征服,统治权,精通,掌握
mastodon n.乳齿象
material n.材料,物资,布料,素材a.物质的,肉体的,具体的
materialism n.唯物主义
materialistic a.唯物论的,唯物主义的
materiality n.实质性,具体性,有形
maternal a.母亲的,母系的,母方的
mathematician n.数学家
matriarch n.女家长,女族长adj.
maturation n.化脓,成熟
maturity n.成熟,完备,到期
maudlin a.容易流泪的,感伤的,醉后好哭的
maverick n.未烙饲主印记的小牛,不服从的人vi.迷路
maxim n.格言,座右铭
maximize vt.取...最大值,最佳化v.最大化
mayor n.市长
maze n.迷宫,迷惘vt.使迷惘,使混乱,迷失
meadow n.草地,牧场
meager a.贫乏的,不毛的,瘦的
meaningful a.意味深长的
measles n.麻疹,风疹,包虫病,痧子
measurement n.尺寸n.度量,度量单位
mechanic n.机械工,技工a.手工的
mechanical a.机械的,机械性的,力学的
mechanism n.机械,机构,技巧,机理,结构
mechanization n.机械化,机动化
mechanize vt.使机械化,用机械装置,机动化
medallion n.大奖章,圆形浮雕,圆形装饰
meddle vi.干涉,干预,乱搞
media n.媒体
median a.中央的,中间的,正中的n.中位数,中值
mediate a.居间的,间接的vt.斡旋vi.调解
mediator n.调停者,仲裁人,基督
medic n.苜蓿属植物,医师,医学生
medication n.药物治疗,药物处理,医药
medicinal a.医学的,药的,有益的
medieval a.中古的,中世纪的
mediocre a.不好不坏的,通常,平凡的
mediocrity n.平常,平庸之才
meditate vt.想,考虑,计划vi.沉思,反省
meditation n.沉思,冥想
meditative a.默想的,耽于默想的,冥想的
medium n.媒体,方法a.半生熟的,中的n.媒体
medley n.混合,混杂,各种各样的集团a.混合的
meek a.温顺的,谦恭的
mega n.兆;百万;十进制数的百万
melancholy n.忧郁,悲哀,愁思a.忧郁的,使人悲伤的
melee n.互殴,乱斗,混战
mellifluous adj.<声音、音乐等>流畅的;甜美的
mellow a.成熟的,醇的,熟练的
melodious a.旋律美妙的,调子优美的,音乐性的
melodrama n.音乐剧,通俗剧,戏剧似的事件
melody n.曲子,美的音乐,曲调
melt n.熔化,熔化物,溶解v(使)熔化,(使)溶解
memento n.纪念物,遗物,令人回忆的东西
memo n.备忘录
memoir n.传记,实录,自传,回忆录,追思录
memorabilia n.大事记
memorable a.值得纪念的,难忘的
memorial n.纪念物,请愿书a.记念的,记忆的
memorialize vt.建议,提出请愿书,纪念
memorization n.凭记忆,暗记
menace n.威胁,胁迫v.威吓,胁迫
mendacious a.虚假的,说谎的
mendacity n.虚伪,谎话,说谎癖
mendicancy n.乞丐生活,乞讨,托钵
menial a.适合仆人做的,卑微的n.仆人
mental a.心智的,精神病的,心理的,颏的n.精神病
mentality n.精神力,智力,头脑作用,思想
mention n.提到,言及,陈述vt.提到,提及
mentor n.良师益友,私人教师
mercenary n.雇来的人,佣兵a.被雇的,图利的
merchandise n.商品,存货v.交易,买卖
merchant n.商人,店主a.商业的,商人的
mercury n.水银,汞,使者,墨丘利神
mere n.池塘a.仅仅的,只不过的
merely ad.只不过，只是
merge vt.使合并,使消失,吞没vi.合并失v.合并
merger n.合并,归并
merit n.优点,功绩,真相,功过,价值vt.值得vi.应受
mermaid n.美人鱼,善泳的女子
merriment n.欢喜,嬉戏
merrymaking n.作乐
mesmerize vt.施催眠术,迷住,迷惑
mess n.食堂,伙食,困境,乱七八糟vt.将...弄糟
metamorphose vt.使变形,使变态,使变成vi.变形,变质
metaphor n.隐喻,暗喻
metaphorically adv.用隐喻,比喻地
meteor n.流星,大气现象
meteorite n.陨星
meteorologist n.气象学者
methane n.甲烷,沼气
methodical a.有方法的,有系统的
methodology n.方法学,方法论
meticulous a.一丝不苟的,精确的,过细的
metis n.混血儿
metropolitan n.大都市的居民,大主教a大都市的
microbe n.微生物,细菌
microcosm n.小宇宙,小世界,人类
microorganism n.微生物,微小动植物
microscopic adj.1显微镜的2显微镜的3极微细的,极微的
microsurgery n.显微外科手术
midair n.半空中
midst n.中间prep.在...中间
miff n.小争执,微怒vt.使恼怒
migrant n.候鸟,移居者
migrate vi.移动,移往,随季节而移居vt.使移居
migration n.移民,移往,移动
migratory a.迁移的,流浪的
mildly ad.柔和地,和善地,谨慎地
mileage n.哩数
militant a.好战的,积极从事或支持使用武力的
military n.军队a.军事的,军人的,好战的
milkweed n.乳草属植物
milky a.乳状的,乳白色的,柔和的
milldam n.水闸
millennium n.太平盛世,一千年
mimic a.模仿的,假装的,拟态的n.模仿者vt.模仿
mindful a.深切注意的,留神的,留心的
mindless a.不小心的,不留神的,不顾虑的
mineral n.矿物,无机物,苏打水a.矿物的,似矿物的
mingle v.(使)混合
miniature adj.微型的,小规模的n.缩图,微型画
minimal a.最小的,极微的,最小限度的
minimalism n.1极简派艺术2极简派艺术风格
minimize vt.将...减到最少,小看，极度轻视
ministry n.部,内阁,服务
minor n.未成年人,副修科目a.较小的,未成年的vi.辅修
minority n.少数,未成年,少数民族a.少数的
minuscule n.草写小字,小写字a.小写字的
minutely ad.详细地,精密地,每分钟地a.每分钟的
minuteness n.微小,微细,棉密
miraculous a.奇迹的,不可思议的
mirage n.海市蜃楼,雾气,妄想
mirth n.欢笑,欢乐,愉快
miry a.泥泞的,尽是泥的,脏的
misapplication n.误用,滥用
misbehave v.(使)行为无礼貌,(使)行为不端
miscalculation n.错误的计算[估计,判断]
miscellaneous a.各种的,多方面的
mischance n.不幸,灾难
mischief n.损害,伤害,淘气,恶作剧,灾祸
mischievous a.淘气的,有害的,恶作剧的,胡搅的
misconception n.误解
miscreant a.邪恶的,协道的,异端的n.恶棍
misdeed n.罪行,犯罪
miser n.守财奴,吝啬鬼,凿井机
miserably ad.非常不幸地,可哀地,贫困地
misery n.悲惨,不幸,穷困
misfortune n.不幸,灾祸,坏运气
misgiving n./v.[常~s]不安,疑惑,忧虑
misguide vt.误导
mishandle vt.虐待,胡乱处理
mishap n.不幸之事,灾祸,恶运
misinform vt.告诉错误的消息
misinterpret vt.曲解
misnomer n.用词不当
misplace vt.放错地方
misrepresent vt.误传,不称职地代表
mission n.任务,代表团,使命,传教团
missionary n.传教士,负有任务者,工作人员a.传教的
missive n.公文,书信a.送出的
misstate vt.说错,作虚伪叙述
mistakenly adv.错误地,误,错,误解地
mistreat vt.虐待
mistrust n.不信任,疑惑v.不信任,疑惑
misty a.有雾的,模糊的,含糊的
mite n.尽棉薄的捐献,细微,微少,螨
mitigate vt.镇静,缓和,减轻
mitigator n.缓和者
mnemonic a.记忆的,助记的n.助记符
moan n.呻吟,悲叹vi.呻吟,抱怨,诉冤
mob n.暴民,民众,暴徒vt.乱挤,围攻
mobility n.可动性,变动性,情感不定
mobilization n.动员,运用,流通
mock n.嘲笑,戏弄,模仿a.假的,伪造的vt.嘲弄
mockery n.嘲弄,笑柄,蔑视
modem n.调制解调器
moderate a.适度的,稳健的,节制的vt.节制,使缓和
moderation n.缓和,适度,温和
moderator n.主席,会议主持人,仲裁人
modernist n.现代主义者,现代人,近代主义者
modernization n.现代化
modest a.谦逊的,羞怯的,端庄的,适度的
modesty n.谦逊,质朴,羞怯
modicum n.少量
modify vt.修正,变更,减轻,缓和,修饰v.修改
moisture n.湿气,水分,降雨
mold n.模子,雏型v.形成,塑造
molder vi.腐朽,崩坏vt.使腐朽n.造模者
molecular a.分子的,由分子组成的
molecule n.分子,些微
mollify vt.平息,缓和,减轻,使镇静
mollusk n.亦作mollusc软体动物
momentarily ad.暂时地,立刻,随时地
momentary a.瞬间的,刹那间的
momentous a.重大的,重要的
momentum n.动力,要素
monarch n.帝王,统治者,元首
monarchy n.君主政体,君主国,君主政治
monastery n.修道院,僧侣
monetary a.货币的,金钱的
monk n.修道士,僧侣,和尚
monochromatic a.单色的,一色的
monolith n.巨型独石,大独石碑
monolithic a.独石的,完全统一的,整体的
monologue n.独白,独脚戏
monopoly n.垄断,专卖权,独占事业
monotonous a.单调的,无变化的
monstrosity n.畸形,奇怪,怪异
montage n.混成画,拼集的照片,蒙太奇
monumental a.纪念碑的,做为纪念的,不朽的
moody a.心情不稳的,易怒的,喜怒无常的
moonlit a.月光照耀的
moral n.道德,品行,寓意a.道德的,良心的
morale n.士气,民心
moralistic a.道学的,教训的,道德主义的
morality n.道德,教训,品行
morally ad.道德上,德性上,有道德地
morbid a.不健全的,病态的,疾病的,可怕的
morose a.郁闷的,乖僻的
morpheme n.形态素,词素
morphology n.形态学,语形论,形态论
mortal n.凡人,人类a.人类的,临终的
mortality n.必死的命运,死亡数目,死亡率
mortgage n.抵押,义务,精神负担vt.抵押,献身于
mortify vt.抑制,苦修,使悔恨,使受辱
mosquito n.蚊子
mote n.尘埃,微粒
motel n.汽车旅馆
motif n.主题,意念,动机,基本花纹
motion n.移动,手势,动作,提议,请求v.打手势
motivate vt.给与动机,刺激,提高...的学习欲望,促动
motivation n.动机,刺激,推动
motive n.动机,目的,主题,发动力a.运动的
motley a.杂色的,混杂的n.杂色,小丑
motorist n.乘汽车者,常坐汽车的人
mottle vt.使成杂色n.杂色,斑点
motto n.箴言,座右铭,标语
mount vi.爬上,增长,上马
mourn v.哀悼,忧伤,服丧
mournful a.悲恸的,悲哀的,令人惋惜的
mow n.草堆,皱眉,怪脸vt.割草,扫射
muck n.垃圾,肥料vt.施肥,弄脏,弄糟vi.鬼混
muckraker n.探听丑闻的人
muddle vt.混合,使微醉n.困惑,混浊状态
muffle n.低沉的声音,消音器,头巾,围巾vt.抑制
mule n.骡,倔强之人
multifaceted adj.1(宝石等)有多面的2多方面的3多才多艺的
multifarious a.多种的,各种各样的,繁杂的
multiple n.倍数,并联a.多样的,复合的,复杂的
multiplicity n.多数,重复,多样
multitude n.多数,群众
mundane a.现世的,世俗的,宇宙的
municipality n.自治区,市当局,全市民
munificence n.宽宏大量,慷慨给与
munition n.军需品vt.供给军需品
mural a.壁的,壁上的,壁似的n.壁画
murky a.黝暗的,阴沉的,笼罩的
murmur n.低语,低声的怨言vi.低语,低声而言
muscular a.强壮的,肌肉发达的,有力的
museum n.博物馆
musicologist n.音乐学者
musing a.沉思的,暝想的
muskrat n.麝香蔷薇
musty a.发霉的,霉臭的,落伍的
mutability n.易变性,性情不定
mutant n.突变异种
mutation n.变化,转变,元音变化
mute n.哑巴,弱音器a.哑的,无声的,沉默的
mutineer n.暴徒,反抗者vi.暴动,反抗
mutiny n.叛变,兵变vi.叛变,反抗,暴动
mutual a.相互的,共有的
myopic a.近视的
myriad n.万,无数,无数的人或物a.无数的,种种的
mysterious a.神秘的,难解的,不可思议的
mystery n.秘密,神秘,奇谈
mystic a.神秘的,奥秘的n.神秘主义者
mystical a.神秘的,奥秘的
mysticism n.神秘,神秘教,神秘论
mystify vt.使神秘化,使难解,迷惑n.变幻线
mystique n.神秘的魅力,奥秘的仪式,秘法
myth n.神话,虚构的事,虚构的人
mythical adj.1神话的;神话中的2虚构的
mythological a.神话的,神话学的,虚构的
mythology n.神话
naive a.天真的,纯真的,朴素的
naivete n.天真烂漫,无邪,纯真
naked a.裸体的,无装饰的,无保护的,坦白的
napkin n.餐巾,餐巾纸,尿布
narcissistic a.孤芳自赏
narrate v.说故事,说明,叙述
narration n.叙述,故事,叙述文
narrative n.叙述,故事a.叙述的,叙事的,故事体的
narrator n.叙述者,讲述者,讲故事的人
narrowly adv.1狭窄地2勉强地
nascent a.发生中的,开始存在的,初期的
nasty a.污秽的,下流的,险恶的
nationalism n.民族主义,民族之特性
naturalist n.自然主义者,博物学者
nautical a.海上的,航海的,船员的
navigation n.航行,航海,导航
neatly ad.整洁地,干净地,灵活地
nebulous a.星云的,星云状的,朦胧的
necessity n.需要,必需品,必然
needy a.贫穷的,贫困的,生活艰苦的
nefarious adj.穷凶极恶的,无法无天的,残暴的
negative n.否定,否定语,底片a.否定的,消极的,负的n.负数
neglect n.疏忽,忽略,怠慢vt.疏忽,忽视,不顾
negligence n.疏忽,粗心大意,忽视
negligible a.可以忽略的,不足取的,无用的
negotiate vi.商议,谈判,交涉vt.谈妥,转让,处理
negotiation n.谈判,磋商,交涉
negotiator n.磋商者,交涉者,议定者
neighborliness n.亲切,友善
nepotism n.偏袒,起用亲戚
nerve n.精神,勇气,叶脉,神经vt.鼓起勇气
nervous a.神经紧张的,不安的,神经的
nervously adv.紧张不安地
nest n.巢,窝,休息所,隐匿处vi.筑巢,找鸟巢vt.使套入
neuroanatomist n.神经解剖学家
neurologist n.神经学者,神经科专门医师
neuroscience n.神经科学
neutral n.中立者,中立国a.中立的
neutrality n.中立,不偏不倚,中间状态
neutralize vt.使中立,使成中立地带,使中和,抵销
nevertheless ad.然而,虽然如此conj.然而
newly ad.重新,最近
newscaster n.新闻广播员,新闻评论广播员
nibble n.细咬,轻咬,啃
nickname n.绰号,昵称vt.给...取绰号,叫错名字
nightmare n.梦魇,恶梦,可怕的经验
nihilism n.虚无主义,怀疑论,虚无主义
nimbly ad.敏捷地,机敏地
nitrogen n.氮
nobility n.贵族,高尚,贵族阶级
nocturnal a.夜的,夜曲的
nomad n.游牧民族,流浪者a.游牧的,流浪的
nomenclature n.命名法,专门语,术语
nominate vt.提名,任命,命名
nonchalant a.不关心的,冷淡的,平静的
nonconformity n.不适合,不一致,不服从国教
nondescript a.莫可名状的,难以区别的,无特征的
nonetheless adv.然而，虽然如此，但是
nonexistent a.不存在的
nonfiction n.非小说的散文文学
nonpartisan adj.不属于党派的,非党员的,无党无派的
nonplus vt.使困惑n.迷惑,困惑,尽头
nonsense n.无意义的事,荒谬的言行,荒唐
nonsensical a.无意义的,荒谬的
normalize vt.使常态化,使合标准,使合规格
nostalgia n.乡愁,乡往过去,怀旧之情
nostalgic a.乡愁的,怀旧的
nosy a.鼻子大的,好管闲事的,爱追问的n.大鼻者
notable n.著名人士,值得注意之事物a.值得注意的
noteworthy a.值得注目的,显著的
noticeably adv.显眼地;显著地
notification n.通知,通告,告示
notify vt.通知,通告,报告
notion n.概念,观念,主张,打算,想法
notoriety n.恶名,丑名,声名狼藉
notorious a.声名狼藉的,恶名昭张的,众人皆知的
notwithstanding ad.虽然,綸躳rep.纵使conj.虽然
nourishment n.滋养品,养料,营养
novelist n.小说家
novelty n.新奇,新鲜,新奇的事物
novice n.新手,初学者
novitiate n.见习期
nowhere ad.无处,到处都无
noxious a.有害的,有毒的,精神不健全的
nuance n.细微差别
nuclear a.核子的,原子能的,核的,中心的
nude a.裸的,与生俱有的,无装饰的n.裸体
nudge n.用肘轻推,悄悄推,引起注意
nugget n.金块,贵金属块,硬块
nuisance n.讨厌的东西,讨厌的人,损害
nullify vt.使无效,废弃,取消
numeral n.数字,数a.数字的,表示数字的
numerous a.很多的,数目众多的,多数的
numismatics n.货币学,古币,奖章类的研究
nurture n.养育,营养物,教育vt.养育,给与营养物
nutrient a.营养的,滋养的n.营养物,滋养物
nutrition n.营养,营养学
nutritionist n.营养学家;营养专家
nutritious a.有营养成分的,营养的
oasis n.绿洲,舒适的地方
obdurate a.顽固的,执拗的,冷酷的
obedience n.服从,顺从,忠实
obedient a.服从的,顺从的,孝顺的
obeisance n.敬礼,鞠躬,顿首
obey vt.服从,遵从,顺从vi.服从
obfuscate vt.弄暗,使模糊,使迷乱
objection n.异议,反对,缺点,拒绝之理由,妨碍
objective n.目的,受格,实物a.客观的,外在的
objectivity n.1客观性2对象性
obligation n.义务,责任,恩惠,契约,约束
oblige vt.强制,施恩惠于,束缚,使感激vi.表示好意
oblique a.斜的,倾斜的,无诚意的,间接的
obliterate vt.涂去,擦去,删除,使湮没
oblivion n.遗忘,忘却,赦免,大赦,湮没
oblivious a.易忘的,遗忘的,忘却的,健忘的
oblong n.长方形,椭圆形a.长方形的,椭圆形的
obnoxious a.可憎的,不愉快的,讨厌的
obscenity n.淫秽,猥亵
obscure a.微暗的,难解的,偏僻的vt.使阴暗,隐藏
obsequious a.谄媚的,奉承的,顺从的
observable adj.1可观察的,看得见的2该注意的3该遵守的
observant adj.a.留心的,善于观察的b.监视[…]的[of]
observation n.观察,注目,观测
observatory n.天文台,气象台,了望台
observe vt.观察,遵守,注意到,纪念vi.注意,评论
observer n.观察者,遵守者,评论者
obsess vt.迷住,使困扰
obsession n.迷住,困扰
obsessive adj.为<恐怖等>所困扰的,萦绕的
obsolete a.荒废的,成废物的,陈旧的n.废词,废物
obstacle n.障碍,妨害物,阻碍
obstinacy n.倔强,顽固,固执
obstinate a.倔强的,顽固的
obstreperous a.吵闹的,喧嚣的,乱闹的,任性的
obstruct vt.阻隔,妨碍,阻塞vi.设障碍
obstruction n.障碍,妨碍,闭塞
obtain vt.获得,达到vi.流行
obtainable adj.能得到的,可获得的,可到手的
obtrusive a.强迫人的,冒失的,莽撞的,伸出的
obvious a.明显的,明白的,显然的
obviously adv.显然
occasion n.理由,诱因vt.致使,惹起,引起
occasional a.偶然的,临时的,备不时之需的
occasionally ad.有时候,偶而
occlusion n.闭塞,吸收,吸藏
occupant n.占有者,居住者,占领者
occupation n.职业,占有,占有期间
occupy vt.占领,占,使从事,担任,住进
occur vi.发生,想到,存在
occurrence n.发生,事件,发现
odd a.奇数的,古怪的,剩余的n.奇数,奇校验
oddity n.奇异,奇妙,奇特
ode n.颂诗,赋
odor n.气味,名声,味
odoriferous a.散发气味的,臭的
offbeat a.不平常的,离奇的n.弱拍
offend v.犯罪,冒犯,违反
offender n.罪犯,无礼的人,得罪人的人
offense n.犯罪,伤感情,攻击
offensive a.令人不快的,侮辱的,攻击用的
offer n.出价,提议,意图,报价vt.提供,出价vi.出现
offering n.提供,奉献物,牲礼
officially ad.作为公务员,职务上,官方地
officious a.多管闲事的,非官方的
offset n.抵销,支派,旁支vt.弥补,抵销
offspring n.子孙,后代,产物
oiler n.油商,涂油者,注油壶
oily a.油的,油滑的,油嘴的
omen n.预兆,前兆,征兆vt.预示,有...的前兆
ominous a.恶兆的,不吉利的,预兆的
omission n.省略,遗漏,疏忽
omit vt.省略,删除,疏忽,遗漏
omnipotent a.全能的,无所不能的
omnipresent a.无所不在的,同时遍在的
ongoing a.前进的,进行的n.前进,举止,行为
onset n.攻击,进攻,肇端
onslaught n.突击,猛击,猛攻
opacity n.不透明,电波不透过,不透明体
opaque n.不透明物a.不透明的,不传热的
openhanded a.张开手的,豪爽的,大方的
openly adv.1公然2显然,率直地
operatic a.歌剧的,歌剧风格的
operational a.操作的,运作的
operative a.动作的,运转的,生产有关的n.侦探
opponent n.对手,敌手,反对者a.敌对的,反对的
opportune a.时机适宜的,适当的
opportunity n.机会,时机
opposite a.相对的,相反的prep.对面n.对立面
opposition n.反对,敌对,相反,在野党
oppression n.压抑,沉闷,压迫手段
oppressive a.压制性的,压迫的,沉重的
oppressor n.压迫者,压制者,暴君
opprobrium n.污名,耻辱,咒骂
opt vi.选择
optical a.眼睛的,视觉的,光学的
optimism n.乐观主义,乐观,乐天
optimistic a.乐观的,乐观主义的,乐天的
option n.选择权,挑选n.选项
opulent a.丰裕的,丰富的,丰饶的
orangutan n.猩猩
oration n.演说,致辞,叙述法
oratorical a.演说的,雄辩的,演说家的
oratory n.1雄辩,雄辩术,演说术2修辞,夸张的文体
orb n.球,天体,圆形物vt.弄圆,成球形,围着
orbit n.轨道,常轨,眼眶vi.进入轨道,盘旋
orchard n.果园,果树
orchestra n.管弦乐队,乐队演奏处
orchid n.兰花,淡紫色
ordeal n.严酷的考验,痛苦的经验
orderly a.有秩序的,整齐的,值班的ad.依次地
ordinance n.法令,条例,圣餐礼
ordinarily ad.通常,普通,大概
ore n.矿石,含有金属的岩石
